Classement,Numéro,Cheval,Cavalier,Points,Temps
1,24,PHILITHYA VAN KLAVERBORCH,Camille THOMAS,0,80.02
1,25,JADORE DE CUVRY,Anne COLLIN MATHIEU,0,86.06
1,3,KOMTESSE DE LA NEE,Estelle HOFFARTH,0,80.83
1,8,PIN UP DU MURY MARAIS Z,Fabien EHRHART,0,84.24
1,9,KASANOVA DES BLES,Morganne ERTLE,0,89.19
1,10,J'STAR SAUVAGE,Amel N GUYEN VONESCH,0,76.78
1,11,JAPSODIE DE MONTD'AUR,Laure FERSTLER,0,85.38
1,12,KIABEAU LUTTERBACH,Denis HESLING,0,86.42
1,15,NAIROBI SAINTE ODILE,Fabien EHRHART,0,86.70
1,16,QUE BUENO LPH Z,Stephane MOLINARI,0,84.58
1,21,KALYPSO DES BLES,Nicole DEWAR,0,81.90
1,22,KARIBIK DE LA NEE,Estelle HOFFARTH,0,82.21
1,23,UECKER,Manon NICOU,0,82.95
14,1,KENZA DE SOULTZ,Louis SCHWEIGER,4,83.39
14,2,KERRYGOLD DES BLES,Nicole DEWAR,4,80.58
14,18,DARIO DU HANS,Jerome HOFFMANN,4,79.63
17,5,CHARLY D'IRIS,Melanie SCHNEIDER,5,93.25
18,6,KORMINT DE CASTILLE,Oceane ROLAND,8,81.19
18,14,PAROLA,Laura NICOU,8,78.53
18,19,KEROSENE DE LEVAUX,Julien BRAYE,8,84.29
21,20,KARA BLANC CRISTAL,Louis SCHWEIGER,11,98.50
22,13,JALITO DU DOGY,Marie ZECCA,18,113.20
23,7,JETLAG DE LA FES,Franck HEINRICH,19,133.10
24,4,J CISPLAT MIRABELLE,Manon NICOU,26,129.07
,17,KRISTAL FONTENOTTES,Marie GHAOUTI,NP,
