Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,1,JAKARTA DES FROTTARDS,Josselin ROZAIRE,0,79.32,13.57 €
1,3,TEQUILA VH SCHEEFKASTEEL,Frederic SONNTAG,0,72.50,13.57 €
1,4,QITURA VON HOF,Victoria KLEIN,0,73.83,13.57 €
1,5,ALCARA DU BECHET,Camille GUILLEMOT,0,67.20,13.57 €
1,6,GRANIT DE BELLEVUE,Christine BERTHOL,0,75.87,13.57 €
1,7,QUENOTTE 2,Franck HEINRICH,0,76.67,13.57 €
1,8,CALVERO DE VALLET,Franck HEINRICH,0,87.26,13.57 €
1,9,IAMIRA D'ELIXIR,Sophie FITTERER,0,77.66,13.57 €
1,12,MADEMOISELLE INEPTIE DE L,Mathieu LAVEAU,0,81.63,13.57 €
1,13,HIDALGO DE LA NEE,Michelle FREISINGER,0,63.82,13.57 €
1,14,GRACIEUSE DE LA NEE,Dan ESCHMANN,0,73.73,13.57 €
1,15,FYGARO DU GUE,Paola VALLETTI,0,67.65,13.57 €
1,16,ENJOY D'OLGY,Josselin ROZAIRE,0,68.45,13.57 €
1,18,ALTEA DELORME,Franck HEINRICH,0,80.68,13.57 €
1,22,HOLLYWOOD DE LA FES,Manon HEINRICH,0,76.16,13.57 €
1,23,IROQUOISE LITZELFELD,Thibaut PIERRAT,0,73.67,13.57 €
1,24,HORS SERIE DU MOULIN,Chiara CHAGNEAU,0,77.05,13.57 €
1,25,FORTUNA DE LA PIENNE,Lisa KIRCHER,0,73.93,13.57 €
1,26,FEELING FRIVOLE,Romain HAASS,0,72.55,13.57 €
1,27,IKEO DELORME,Christophe JUNCKER,0,74.57,13.57 €
1,28,HARDY DE LA GAIETE,Frederic SONNTAG,0,74.18,13.57 €
1,30,FUN LADY DE LA LUTH*LITIERE-CHEVAL.COM,Agathe GUILLART,0,72.99,13.57 €
1,32,FLORA DENFER,Stephane MOLINARI,0,78.57,13.57 €
24,17,LANCELOT DE VIRTON,Stephane MOLINARI,4,85.87, 
24,19,HEUREKA DE BETTEGNEY,Sylvie BLUMSTEIN,4,72.74, 
24,21,GUS DE LIZERNE,Dorian PIQUEREZ,4,69.10, 
24,29,CONCHITA VON HOF,Victoria KLEIN,4,70.97, 
24,31,NORKA DE TROMCOURT Z,Josselin ROZAIRE,4,71.08, 
29,10,AIRLINE ROSE DP Z,Elodie MULLER,5,92.96, 
30,34,IDEO DE LASCA,Isaure HOHMANN,8,71.74, 
30,33,GOYAVE DU LOTI,Louis SCHWEIGER,8,66.53, 
32,2,FILOU DE BAERENRAIN,Stephane MOLINARI,12,103.19, 
,35,DYNAMO DE PLEVILLE,Camille HOLLAENDER,EL,, 
,11,EMB INDY LA LOUVIERE,Elora SCHMITTER,AB,, 
,20,ZAIRE,Laura VIUTTI,AB,, 
