Classement,Numéro,Cheval,Cavalier,Points,Temps,Points,Temps,Gains
1,14,HOP FOR YOU BRUCE,Sarah LEMINEUR,0,66.84,0,38.52,1750.00 €
2,17,DEFI DE BOISY,Mathieu LAVEAU,0,69.15,0,39.03,1330.00 €
3,4,HORACE SAUVAGE,Romain HAASS,0,68.54,0,40.30,1050.00 €
4,2,CHACCOTINO Z,Dan ESCHMANN,0,71.52,0,43.03,840.00 €
5,16,FAUVE DES ROCHES,Dan ESCHMANN,0,72.00,0,43.55,700.00 €
6,20,INDIGENE LITZELFELD,Romain HAASS,0,70.46,0,47.50,560.00 €
7,23,HIDALGO DU LAC,Steeve DEBES,0,69.97,4,39.92,420.00 €
8,7,DIAMONS DU CLOCHET,Steeve DEBES,1,72.49, ,,350.00 €
9,3,GRIFFON OCHENE,Mathieu LAVEAU,1,72.63, ,, 
10,18,VIC DE LA HARDT,Pascal BOZZOLO,1,72.72, ,, 
11,33,EX ORBIT,Christophe JUNCKER,1,73.56, ,, 
12,21,CIABLANCA,Elora SCHMITTER,1,73.99, ,, 
13,11,EDITION PLASSAY,Frederic SONNTAG,4,66.52, ,, 
14,26,HELL BOY SAINTE ODILE,Tom DELLENBACH,5,72.83, ,, 
15,9,D'JACPOT DES CABANES,Erwan AUFFRET ADC,5,72.99, ,, 
16,15,DINARD BASTERS,Perrine MARY,5,74.01, ,, 
17,10,CHACCACO,Thibault PALM,5,74.51, ,, 
18,29,KEZAC DE VILLEE,Perrine MARY,8,70.07, ,, 
19,28,KARLA DES WAGNES,Lisa GRANDDIDIER,8,70.38, ,, 
20,32,FUN LADY DE LA LUTH*LITIERE-CHEVAL.COM,Agathe GUILLART,8,71.11, ,, 
21,25,QUALITY STAR DV,Erwan AUFFRET ADC,13,74.31, ,, 
22,27,BARTOCK ANDALOU,Dylan WYSS,13,74.82, ,, 
23,22,HORUS BLANC CRISTAL,Louis SCHWEIGER,16,71.37, ,, 
24,1,RICARDO VAN DE HELLE,Perrine MARY,20,102.21, ,, 
25,24,HEINOGIRL DE LA FES,Manon HEINRICH,25,91.45, ,, 
26,6,GUDIE DU LOTI,Louis SCHWEIGER,26,93.92, ,, 
,5,MACADELLO D.S.,Elora SCHMITTER,AB,,,, 
,8,AROHANUI DE LUSSE,Manon HEINRICH,AB,,,, 
,12,GINGKO DU BOISDEVILLE,Perrine DAGORN,AB,,,, 
,19,FERRERO DELORME,Christian HUG,AB,,,, 
,31,VELVET SUNHEUP,Mathieu LAVEAU,AB,,,, 
,13,DIABLO DE LYR,Fabien EHRHART,NP,,,, 
,30,FLIRT DE RIVERLAND,Dan ESCHMANN,NP,,,, 
